DT_DAY,TX_DAY_OF_WEEK_DESCR_NL,TX_BUILD_UP_AREA_DESCR_NL,TX_COLL_TYPE_DESCR_NL,TX_LIGHT_COND_DESCR_NL,TX_ROAD_TYPE_DESCR_NL,TX_MUNTY_DESCR_NL,TX_PROV_DESCR_NL,MS_ACCT,MS_ACCT_WITH_DEAD,MS_ACCT_WITH_DEAD_30_DAYS,MS_ACCT_WITH_MORY_INJ,MS_ACCT_WITH_SERLY_INJ,MS_ACCT_WITH_SLY_INJ
28-Nov-20,zaterdag,Buiten bebouwde kom,Langs achteren (of naast elkaar),Bij klaarlichte dag,"Gewestweg, provincieweg of gemeenteweg",Aartselaar,Provincie Antwerpen,1,0,0,0,0,1
24-Sep-20,donderdag,Binnen bebouwde kom,Langs achteren (of naast elkaar),Bij klaarlichte dag,"Gewestweg, provincieweg of gemeenteweg",Aartselaar,Provincie Antwerpen,1,0,0,0,0,1
14-Dec-20,maandag,Buiten bebouwde kom,Langs achteren (of naast elkaar),Bij klaarlichte dag,Autosnelweg,Aartselaar,Provincie Antwerpen,1,0,0,0,0,1
18-Nov-20,woensdag,Binnen bebouwde kom,Langs opzij,"Nacht, ontstoken openbare verlichting","Gewestweg, provincieweg of gemeenteweg",Aartselaar,Provincie Antwerpen,1,0,0,0,1,0
17-Sep-20,donderdag,Binnen bebouwde kom,Langs opzij,Bij klaarlichte dag,"Gewestweg, provincieweg of gemeenteweg",Aartselaar,Provincie Antwerpen,1,0,0,0,0,1
27-Jul-20,maandag,Buiten bebouwde kom,Frontale botsing (of bij het kruisen),Bij klaarlichte dag,"Gewestweg, provincieweg of gemeenteweg",Aartselaar,Provincie Antwerpen,1,0,0,0,0,1
16-Oct-20,vrijdag,Buiten bebouwde kom,Langs achteren (of naast elkaar),Bij klaarlichte dag,"Gewestweg, provincieweg of gemeenteweg",Aartselaar,Provincie Antwerpen,1,0,0,0,1,0
25-Oct-20,zondag,Binnen bebouwde kom,Tegen een hindernis buiten de rijbaan,Bij klaarlichte dag,"Gewestweg, provincieweg of gemeenteweg",Aartselaar,Provincie Antwerpen,1,0,0,0,0,1
01-Dec-20,dinsdag,Binnen bebouwde kom,Niet beschikbaar,Bij klaarlichte dag,"Gewestweg, provincieweg of gemeenteweg",Aartselaar,Provincie Antwerpen,1,0,0,0,0,1
04-Dec-20,vrijdag,Niet beschikbaar,Niet beschikbaar,Niet beschikbaar,Onbekend,Aartselaar,Provincie Antwerpen,1,0,0,0,0,1
31-Jul-20,vrijdag,Buiten bebouwde kom,Langs opzij,Dageraad - schemering,"Gewestweg, provincieweg of gemeenteweg",Aartselaar,Provincie Antwerpen,1,1,1,0,0,0
